SEMÁFORO COMPARTILHADO,SEMÁFORO,IP DDNS,Nº CHIP,ELSYS,LOCALIZAÇÃO 1,LOCALIZAÇÃO 2,ENDEREÇO,BAIRRO,TIPO DE CONTROLADOR,EMPRESA,ROTA,OBSERVAÇOES,SUB-ÁREA (TRAFGO),LATITUDE ,LONGITUDE,GEOREFERÊNCIA,NOBREAK,Nº do No Break,CÂMERAS,BOTOEIRA COM DISPOSITIVO SONORO,HORÁRIO DE FUNCIONAMENTO Do dispositivo sonoro,BOTOEIRA SIMPLES,Coluna Cônica,Coluna Simples,Semipórtico Cônico,Semipórtico Simples,Semipórtico Estruturado,Pórtico Estruturado,Veicular TIPO I,VeiculaR Tipo T,PEDESTRE SIMPLES,Pedestre com cronômetro,Ciclista ,Anteparo TIpo I,Veicular com sequencial,Veicular com cronômetro,Luminárias,Conta-Contrato,NÚMERO DO Medidor ,Data de implantação
067,067,s05228.dyndns.org,,,AV. GEN. SAN MARTIN,RUA GOMES TABORDA,AV. GEN. SAN MARTIN X RUA GOMES TABORDA,CORDEIRO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.055486,-34.923966,"-8.055486,-34.923966",NÃO,,,,,,,4,,4,,,8,,8,,,,,,,4.010.496.425,3.160.717.628,04/01/1979
068,068,s05559.dyndns.org,,,AV. GOV. AGAMENON MAGALHÃES,RUA HENRIQUE DIAS,AV. GOV. AGAMENON MAGALHÃES X RUA HENRIQUE DIAS,DERBY,GIT-CSMP 10 FASES,SERTTEL,4,,,-8.058912,-34.897931,"-8.058912,-34.897931",SIM,1191.A0.010000004708,,,,,,1,1,2,,2,9,,,,2,5,4,,,4.004.775.770,60.162.247,27/08/1978
069,069,s05563.dyndns.org,,,AV. GOV. AGAMENON MAGALHÃES,RUA DO PAISSANDÚ,AV. GOV. AGAMENON MAGALHÃES X RUA DO PAISSANDÚ,PAISSANDU,GIT-CSMP 16 FASES,SERTTEL,4,,JOÃO ASFORA II,-8.062396,-34.897553,"-8.062396,-34.897553",NÃO,1191.A0.010000004720,,,,,,14,1,5,,2,17,,20,,2,7,5,,,4.011.843.927,,27/08/1978
070,070,s05395.dyndns.org,,,RUA JEAN EMILE FAVRE,RUA SATURNINO MEIRELES,RUA JEAN EMILE FAVRE X RUA SATURNINO MEIRELES,IMBIRIBEIRA,GIT-SM 6 FASES,SINALVIDA,7,,,-8.113264,-34.922089,"-8.113264,-34.922089",NÃO,,,,,,,,,3,,,8,,,,,2,,,,7.001.016.533,91.154.641,23/04/1983
071,071,s05121.dyndns.org,,,RUA JOAQUIM NABUCO,RUA DAS CREOULAS,RUA JOAQUIM NABUCO X RUA DAS CREOULAS,DERBY,GIT-CSMP 10 FASES,SERTTEL,4,,,-8.052473,-34.899471,"-8.052473,-34.899471",SIM,1191.A0.010000004741,,,,,,2,2,,,,4,,,,,2,,1,,4.005.620.690,61.255.192,26/06/1978
072,072,s05318.dyndns.org,,,AV. SUL,SOB O VIADUTO DAS 5 PONTAS,AV. SUL X SOB O VIADUTO DAS 5 PONTAS,SÃO JOSÉ,GIT-SM 6 FASES,SINALVIDA,10,,,-8.0724755,-34.8811536,"-8.0724755,-34.8811536",NÃO,,,2,24h,,,1,,1,,,4,,2,,,1,,,,7.001.085.004,3.241.273.082,03/09/1983
073 / 528,073,s05251.dyndns.org,,,RUA NICOLAU PEREIRA,RUA DA PAZ,RUA NICOLAU PEREIRA X RUA DA PAZ,AFOGADOS,GIT-CSMP 10 FASES,SERTTEL,5,,AFOGADOS - AV. SUL,-8.079545,-34.904337,"-8.079545,-34.904337",SIM,,,,,,,1,,2,,,4,,,,,2,,,,4.006.930.277,70.108.410,06/10/1977
074,074,s05172.dyndns.org,,,ESTRADA DO ARRAIAL,RUA DA HARMONIA,ESTRADA DO ARRAIAL X RUA DA HARMONIA,CASA AMARELA,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.027477,-34.913869,"-8.027477,-34.913869",SIM,,,,,,,7,,3,,,5,,8,,2,2,,,,4.008.922.964,3.011.074.312,27/06/1977
075 / 417,075,s05562.dyndns.org,,,AV. GOV. AGAMENON MAGALHÃES,AV. CARLOS DE LIMA CAVALCANTE,AV. GOV. AGAMENON MAGALHÃES X AV. CARLOS DE LIMA CAVALCANTE,DERBY,GIT-CSMP 16 FASES,SERTTEL,4,,,-8.056709,-34.897924,"-8.056709,-34.897924",SIM,1191.A0.010000004724,,,,,,3,,4,,2,10,,6,,2,2,6,,,4.004.775.835,3.226.043.615,27/08/1977
076,076,s04972.dyndns.org,,,CAIS DE SANTA RITA,ENTRADA PARA O TI SANTA RITA,CAIS DE SANTA RITA X ENTRADA PARA O TI SANTA RITA,SÃO JOSÉ,GIT-SM 6 FASES,SINALVIDA,10,,,-8.069636,-34.875393,"-8.069636,-34.875393",NÃO,,,,,,,,2,,,,6,,,2,,3,,,,7.001.402.867,91.187.787,01/05/1991
077,077,,,,AV. BEIRA RIO,PROX. A RUA PADRE ANCHIETA,AV. BEIRA RIO X PROX. A RUA PADRE ANCHIETA,TORRE,DIGICON - CD200,SINALVIDA,8,,,-8.046546,-34.904220,"-8.046546,-34.904220",NÃO,,,,,,,5,1,,,,4,,4,,,2,,,,7.007.670.073,3.211.672.802,30/04/2004
078,078,s05661.dyndns.org,,,AV. GOV. AGAMENON MAGALHÃES,RUA BUENOS AIRES,AV. GOV. AGAMENON MAGALHÃES X RUA BUENOS AIRES,DERBY,GIT-CSMP 10 FASES,SERTTEL,4,,,-8.048678,-34.892940,"-8.048678,-34.892940",SIM,1191.A0.010000004737,,,,,,1,2,,,2,9,,,,1,2,4,,,4.004.776.130,60.164.177,27/08/1979
079 / 312,079,s05104.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,RUA CÓRREGO DO BARTOLOMEU,AV. NORTE MIGUEL ARRAES DE ALENCAR X RUA CÓRREGO DO BARTOLOMEU,CASA AMARELA,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.024091,-34.911926,"-8.024091,-34.911926",SIM,,,,,,,2,,3,,,6,,2,,,2,,1,,4.005.703.412,3.225.858.542,28/12/1977
080 / 266 / 591,080,s05069.dyndns.org,,,AV. CAXANGÁ,AV. GAL SAN MARTIN,AV. CAXANGÁ X AV. GAL SAN MARTIN,CORDEIRO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.050447,-34.921077,"-8.050447,-34.921077",NÃO,,,,,,,4,,,3,,6,,,,,,2,,,4.007.397.661,3.131.169.778,15/05/1991
081,081,s05625.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,AV. SANTOS DUMONT,AV. NORTE MIGUEL ARRAES DE ALENCAR X AV. SANTOS DUMONT,ROSARINHO,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.033536,-34.896475,"-8.033536,-34.896475",SIM,,,,,,,1,,3,,,5,,,,,3,,3,,4.005.716.263,61.422.765,29/11/1976
082,082,s05046.dyndns.org,,,AV. DR. JOSÉ RUFINO,RUA JOÃO TEIXEIRA,AV. DR. JOSÉ RUFINO X RUA JOÃO TEIXEIRA,ESTÂNCIA,GIT-SM 6 FASES,SINALVIDA,7,,,-8.084694,-34.928126,"-8.084694,-34.928126",NÃO,,,,,2,,,,3,,,6,,,2,,,,,,4.008.921.194,90.741.810,06/10/1981
083,083,s05387.dyndns.org,,,AV. MANOEL BORBA,RUA DAS NINFAS,AV. MANOEL BORBA X RUA DAS NINFAS,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,8,,,-8.059303,-34.891310,"-8.059303,-34.891310",NÃO,,,,,,,,,2,,,6,,,,2,3,,,,4.005.990.519,3.202.332.446,05/03/1976
084,084,s05051.dyndns.org,,,AV. BOA VIAGEM,AV. ARMINDO MOURA,AV. BOA VIAGEM X AV. ARMINDO MOURA,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.151128,-34.907787,"-8.151128,-34.907787",NÃO,,,,,,,2,1,,,,3,,,1,,,1,,,4.005.864.106,3.205.325.475,22/10/1979
085,085,s05291.dyndns.org,,,AV. RECIFE,RUA CAP. ESTEVÃO FERNANDES,AV. RECIFE X RUA CAP. ESTEVÃO FERNANDES,VILA CARDEAL,GIT-SM 6 FASES,SINALVIDA,7,,,-8.092779,-34.929265,"-8.092779,-34.929265",NÃO,,,,,2,,2,,2,,,3,,,2,,2,,,,4.008.180.984,71.597.482,08/06/1996
086,086,s05089.dyndns.org,,,RUA BARÃO DE ITAMARACÁ,RUA DO ESPINHEIRO,RUA BARÃO DE ITAMARACÁ X RUA DO ESPINHEIRO,ESPINHEIRO,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.043457,-34.893356,"-8.043457,-34.893356",SIM,,,,,,,1,,3,,,6,,,,,3,,,,4.008.174.534,3.010.029.649,27/06/1977
087,087,s05258.dyndns.org,,,RUA IMPERIAL,RUA LOURENÇO DE SÁ,RUA IMPERIAL X RUA LOURENÇO DE SÁ,SÃO JOSÉ,GIT-SM 6 FASES,SINALVIDA,8,,,-8.076207,-34.895181,"-8.076207,-34.895181",NÃO,,,,,,,,2,1,,,6,,,,,3,,,,4.006.930.935,3.191.328.557,01/09/2018
088,088,s05207.dyndns.org,,,AV. MAURÍCIO DE NASSAU,RUA NOSSA SENHORA DA SAÚDE,AV. MAURÍCIO DE NASSAU X RUA NOSSA SENHORA DA SAÚDE,CORDEIRO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.040724,-34.927190,"-8.040724,-34.927190",NÃO,,,,,,,,2,,,,6,,,,,3,,,,7.002.607.985,3.211.752.962,29/09/2004
089,089,s05083.dyndns.org,,,AV. JOÃO DE BARROS,RUA DO ESPINHEIRO,AV. JOÃO DE BARROS X RUA DO ESPINHEIRO,ESPINHEIRO,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.041333,-34.891432,"-8.041333,-34.891432",SIM,,,,,,,1,,2,,,4,,,,,2,,,,4.008.590.309,3.142.584.165,16/07/1977
090,090,s05344.dyndns.org,,,RUA DA AURORA,AV. MÁRIO MELO,RUA DA AURORA X AV. MÁRIO MELO,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,10,,,-8.056323,-34.877953,"-8.056323,-34.877953",NÃO,,,,,,,1,1,2,,,8,,2,2,,4,,,,4.010.268.546,80.103.271,03/09/1977
091,091,s04974.dyndns.org,,,RUA FALCÃO DE LACERDA,E/F À IGREJA DE TEJIPIÓ,RUA FALCÃO DE LACERDA X E/F À IGREJA DE TEJIPIÓ,TEJIPIÓ,GIT-SM 6 FASES,SINALVIDA,7,ANTENA FOI FURTADA DEPOIS DE UMA COLISÃO (AUTORIZADO A RETIRAR O CADASTRO),,-8.093370,-34.963700,"-8.093370,-34.963700",NÃO,,,,,2,,,,,,,4,,,2,,2,,,,7.008.162.349,3.011.208.462,03/12/1981
092,092,s05123.dyndns.org,,,RUA DO HOSPÍCIO,RUA DO RIACHUELO,RUA DO HOSPÍCIO X RUA DO RIACHUELO,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,10,,,-8.059149,-34.883491,"-8.059149,-34.883491",NÃO,,,,,,,,,2,,,4,,,,,2,,,,4.010.181.939,3.120.710.825,06/05/1978
093,093,s05653.dyndns.org,,,RUA ÁLVARES DE AZEVEDO,RUA GOUVEIA DE BARROS,RUA ÁLVARES DE AZEVEDO X RUA GOUVEIA DE BARROS,SANTO AMARO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.049570,-34.888670,"-8.049570,-34.888670",NÃO,,,,,,,,1,1,,,5,,,,,3,,,,4.010.266.659,3.121.553.766,20/10/1978
094,094,s05547.dyndns.org,,,ESTRADA DE BELÉM,RUA PRUDENTE DE MORAIS,ESTRADA DE BELÉM X RUA PRUDENTE DE MORAIS,CAMPO GRANDE,GIT-SM 6 FASES,SERTTEL,2,,,-8.032989,-34.884563,"-8.032989,-34.884563",NÃO,,,,,,,,,3,,,8,,,,,3,,,,7.000.605.128,3.202.483.908,09/12/1977
095,095,s05332.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,LARGO DOM LUIZ,AV. NORTE MIGUEL ARRAES DE ALENCAR X LARGO DOM LUIZ,CASA AMARELA,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.021323,-34.917489,"-8.021323,-34.917489",SIM,,,,,,,4,,2,,,6,,4,,,2,,,,4.005.750.852,61.422.870,15/12/1977
096,096,s05105.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,RUA DA MANGABEIRA,AV. NORTE MIGUEL ARRAES DE ALENCAR X RUA DA MANGABEIRA,MANGABEIRA,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.025589,-34.906581,"-8.025589,-34.906581",SIM,,,,,,,3,,3,,,6,,4,,,2,,,,4.005.716.239,61.423.869,28/12/1977
097,097,s05589.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,E/F A PARÓQUIA SÃO SEBASTIÃO,AV. NORTE MIGUEL ARRAES DE ALENCAR X E/F A PARÓQUIA SÃO SEBASTIÃO,SANTO AMARO,GIT-CSMP 10 FASES,SERTTEL,2,FALTA RÉGUA DO KIT COMUNICAÇÃO,,-8.043957,-34.882417,"-8.043957,-34.882417",SIM,,,,,2,,2,,2,,,6,,2,,,2,,,,4.005.795.287,3.011.035.218,11/01/1978
098,098,s05192.dyndns.org,,,AV. SANTOS DUMONT,RUA DR. JOSÉ MARIA,AV. SANTOS DUMONT X RUA DR. JOSÉ MARIA,ROSARINHO,GIT-SM 6 FASES,SERTTEL,1,,,-8.035649,-34.897487,"-8.035649,-34.897487",NÃO,,,,,,,,,3,,,6,,,,,3,,,,4.008.175.352,3.225.976.391,18/08/1978
099,099,s05125.dyndns.org,,,AV. CONSELHEIRO ROSA E SILVA,RUA BARÃO DE CONTENDAS,AV. CONSELHEIRO ROSA E SILVA X RUA BARÃO DE CONTENDAS,AFLITOS,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.041708,-34.898009,"-8.041708,-34.898009",SIM,,,,,2,,1,2,,,,4,,,2,,2,,,,4.008.161.530,3.205.233.996,29/05/2004
100,100,s05184.dyndns.org,,,ESTRADA VELHA DO BONGI,RUA COSME VIANA,ESTRADA VELHA DO BONGI X RUA COSME VIANA,BONGI,GIT-SM 6 FASES,SINALVIDA,8,,,-8.068287,-34.909790,"-8.068287,-34.909790",NÃO,,,,,,,,,3,,,6,,,,,3,,,,4.012.939.316,82.779.965,14/09/1978
101,101,s05400.dyndns.org,,,RUA JEAN EMILE FAVRE,RUA BLUMENAU,RUA JEAN EMILE FAVRE X RUA BLUMENAU,IPSEP,GIT-SM 6 FASES,SINALVIDA,7,,,-8.109943,-34.918273,"-8.109943,-34.918273",NÃO,,,,,,,,,3,,,6,,,,,3,,,,7.001.683.599,91.154.668,15/09/1978
102,102,s05660.dyndns.org,,,AV. RUI BARBOSA,RUA DAS CREOULAS,AV. RUI BARBOSA X RUA DAS CREOULAS,GRAÇAS,GIT-CSMP 10 FASES,SERTTEL,4,,,-8.049903,-34.898007,"-8.049903,-34.898007",SIM,1191.A0.010000004705,,,,,,1,,2,,,3,,,,,2,,1,,4.005.622.862,80.474.997,24/11/1978
103,103,radium-tecnologia.fortiddns.com:10104,,,AV. ANTÔNIO DE GÓES,RUA MANOEL DE BRITO,AV. ANTÔNIO DE GÓES X RUA MANOEL DE BRITO,PINA,GIT-CSMP 10 FASES,SERTTEL,3,,ANTÔNIO DE GOES,-8.085444,-34.886685,"-8.085444,-34.886685",SIM,1191.A0.0100000046700,3,,,,0,1,3,,1,,3,,,,,,3,,,7.043.181.348,3.213.011.030,07/01/1978
104,104,radium-tecnologia.fortiddns.com:10061,,,AV. BOA VIAGEM,RUA HERCULANO BANDEIRA,AV. BOA VIAGEM X RUA HERCULANO BANDEIRA,PINA,GIT-CSMP 10 FASES,SERTTEL,3,,ANTÔNIO DE GOES,-8.091769,-34.882053,"-8.091769,-34.882053",NÃO,,2,,,0,,4,2,1,,,4,,2,2,2,,2,,,7.024.325.177,3.225.487.897,01/07/1979
105,105,s05319.dyndns.org,,,AV. BOA VIAGEM,RUA THOMÉ GIBSON,AV. BOA VIAGEM X RUA THOMÉ GIBSON,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.099740,-34.884436,"-8.099740,-34.884436",NÃO,,,,,,,2,1,,1,,3,,,2,,,1,,,4.005.864.602,3.204.384.052,02/01/1980
106,106,,,,RUA REAL DA TORRE,RUA CONDE DE IRAJÁ,RUA REAL DA TORRE X RUA CONDE DE IRAJÁ,TORRE,DIGICON - CD200,SINALVIDA,8,,,-8.046317,-34.909548,"-8.046317,-34.909548",NÃO,,,,,,,,,3,,,3,,,,,3,,1,,4.008.920.538,80.143.176,10/02/1979
107 / 370,107,s05669.dyndns.org	,,,AV. 17 DE AGOSTO,ESTRADA DO ARRAIAL,AV. 17 DE AGOSTO X ESTRADA DO ARRAIAL,CASA FORTE,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.027788,-34.927156,"-8.027788,-34.927156",SIM,,,,,,,1,2,,,,6,,,,,3,,,,4.012.686.418,3.193.327.760,07/10/2004
108 / 465,108,s05663.dyndns.org,,,AV. GOV. AGAMENON MAGALHÃES,ANTES DO VIADUTO DA JOÃO DE BARROS SENTIDO BV,AV. GOV. AGAMENON MAGALHÃES X ANTES DO VIADUTO DA JOÃO DE BARROS SENTIDO BV,SANTO AMARO,COMPARTILHADO,SERTTEL,4,,,-8.043536,-34.887514,"-8.043536,-34.887514",NÃO,,,2,06:00/21:00h,0,,,,,,1,2,,2,,,2,2,,,4.005.634.895,61.256.474,17/07/1998
109,109,s05204.dyndns.org,,,AV. MAURÍCIO DE NASSAU,PRÓX. RUA SANTA LÚCIA,AV. MAURÍCIO DE NASSAU X PRÓX. RUA SANTA LÚCIA,IPUTINGA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.039282,-34.929594,"-8.039282,-34.929594",NÃO,,,,,2,,,,2,,,4,,,2,,2,,,,7.002.608.850,3.151.371.743,20/08/2004
110,110,s05620.dyndns.org,,,AV. BOA VIAGEM,RUA PEREIRA COSTA,AV. BOA VIAGEM X RUA PEREIRA COSTA,PINA,GIT-SM 6 FASES,SINALVIDA,6,,,-8.095900,-34.883112,"-8.095900,-34.883112",NÃO,,,,,,,,1,,1,,1,,,,,,1,,,4.005.862.979,3.233.350.671,23/02/1979
111,111,s05541.dyndns.org,,,RUA ITANAGÉ,RUA BLUMENAU,RUA ITANAGÉ X RUA BLUMENAU,IPSEP,GIT-SM 6 FASES,SINALVIDA,7,,,-8.106442,-34.921326,"-8.106442,-34.921326",NÃO,,,,,,,,2,,,,6,,,,,,,,,7.001.683.408,91.154.714,06/05/2000
112,112,s05493.dyndns.org,,,AV. BOA VIAGEM,RUA PADRE CARAPUCEIRO,AV. BOA VIAGEM X RUA PADRE CARAPUCEIRO,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.120273,-34.895078,"-8.120273,-34.895078",NÃO,,,,,2,,2,,,,1,2,,,2,2,,2,,,4.005.864.297,3.205.573.762,14/03/1979
113,113,s05496.dyndns.org,,,AV. BOA VIAGEM,RUA ERNESTO DE PAULA SANTOS,AV. BOA VIAGEM X RUA ERNESTO DE PAULA SANTOS,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.125274,-34.897142,"-8.125274,-34.897142",NÃO,,,,,,,3,,,1,,4,,1,,2,2,1,,,4.005.864.025,3.205.573.525,21/09/1984
114,114,s05227.dyndns.org,,,AV. CONS. AGUIAR,RUA CEL. BENEDITO CHAVES,AV. CONS. AGUIAR X RUA CEL. BENEDITO CHAVES,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.128354,-34.900410,"-8.128354,-34.900410",SIM,,,,,,,1,,2,,,4,,,,,5,,,,4.006.897.946,62.562.692,19/10/1979
115,115,s05600.dyndns.org,,,AV. CONS. AGUIAR,RUA PADRE CARAPUCEIRO,AV. CONS. AGUIAR X RUA PADRE CARAPUCEIRO,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,ANTENA REMOVIDA (CHEIO DE ÁGUA),,-8.119519,-34.896599,"-8.119519,-34.896599",SIM,"1191.A0.010000004800
",,,,,,1,,2,,,3,,,,,2,,1,,4.007.159.256,3.010.093.028,27/09/1981
116 / 471,116,s05553.dyndns.org,,,AV. MAL. MASCARENHAS DE MORAES,EM FRENTE AO Nº4728,AV. MAL. MASCARENHAS DE MORAES X EM FRENTE AO Nº4728,IMBIRIBEIRA,COMPARTILHADO,SERTTEL,5,,,-8.125170,-34.915120,"-8.125170,-34.915120",NÃO,,,,,2,,2,,2,,,4,,2,,,2,,,,-,,22/02/2016
117,117,s05397.dyndns.org,,,AV. BOA VIAGEM,3º JARDIM,AV. BOA VIAGEM X 3º JARDIM,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.108815,-34.888605,"-8.108815,-34.888605",NÃO,,,,,2,,2,,,1,,2,,,2,2,6,1,,,4.005.865.137,3.154.757.316,04/04/1979
118,118,s05316.dyndns.org,,,AV. BOA VIAGEM,1º JARDIM,AV. BOA VIAGEM X 1º JARDIM,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.101270,-34.885140,"-8.101270,-34.885140",NÃO,,,,,2,,3,,,1,,2,,,2,2,,1,,,4.005.864.904,3.132.772.990,05/04/1979
119,119,s05619.dyndns.org,,,AV. BOA VIAGEM,RUA ONDINA,AV. BOA VIAGEM X RUA ONDINA,PINA,GIT-SM 6 FASES,SINALVIDA,6,,,-8.094196,-34.882681,"-8.094196,-34.882681",NÃO,,,,,1,,2,,,1,,2,,1,,1,,1,,,4.005.863.150,3.154.757.103,08/04/1979
120,120,s05492.dyndns.org,,,AV. BOA VIAGEM,RUA BRUNO VELOSO,AV. BOA VIAGEM X RUA BRUNO VELOSO,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.121939,-34.895997,"-8.121939,-34.895997",NÃO,,,,,0,,3,,,1,,4,,4,,2,,1,,,4.005.864.076,61.506.586,05/05/1991
121,121,s05314.dyndns.org,,,AV. BOA VIAGEM,RUA DO ATLÂNTICO,AV. BOA VIAGEM X RUA DO ATLÂNTICO,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.098279,-34.883756,"-8.098279,-34.883756",NÃO,,,,,1,,2,,,1,,2,,1,,,3,1,,,4.005.862.944,3.205.135.137,08/10/2004
122,122,radium-tecnologia.fortiddns.com:20001,,,AV. FREI MATIAS TEVES,RUA DR JOÃO ASFORA,AV. FREI MATIAS TEVES X RUA DR JOÃO ASFORA,ILHA DO LEITE,GIT-CSMP 10 FASES,SERTTEL,4,ANTENA REMOVIDA (CHEIO DE ÁGUA),JOÃO ASFORA,-8.063672,-34.896197,"-8.063672,-34.896197",SIM,,2,,,,,5,,2,,,2,,4,,,,,1,,4.011.843.927,,14/05/2005
123,123,s05558.dyndns.org,,,AV. BOA VIAGEM,RUA DONA BENVINDA DE FARIAS,AV. BOA VIAGEM X RUA DONA BENVINDA DE FARIAS,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.111829,-34.889969,"-8.111829,-34.889969",NÃO,,,,,,,3,,,1,,4,,2,,2,2,1,,,4.011.843.927,,22/04/1979
124,124,s05315.dyndns.org,,,AV. BOA VIAGEM,2º JARDIM,AV. BOA VIAGEM X 2º JARDIM,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.104509,-34.886665,"-8.104509,-34.886665",NÃO,,,,,2,,2,,,,1,2,,2,,2,,2,,,4.005.864.980,3.211.958.463,23/04/1979
125,125,s05323.dyndns.org,,,AV. CONS. AGUIAR,RUA PADRE BERNARDINO PESSOA,AV. CONS. AGUIAR X RUA PADRE BERNARDINO PESSOA,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.114538,-34.893663,"-8.114538,-34.893663",SIM,1191.A0.010000004803,,,,,,1,,2,,,4,,,,,,,,,4.006.854.708,3.205.573.797,05/06/1980
126 / 562,126,s05027.dyndns.org	,,,AV. RUI BARBOSA,RUA ESMERALDINO BANDEIRA,AV. RUI BARBOSA X RUA ESMERALDINO BANDEIRA,GRAÇAS,COMPARTILHADO,SERTTEL,1,,,-8.047637,-34.899890,"-8.047637,-34.899890",NÃO,,,,,,,,,2,,,4,,,,,2,,,,4.005.620.169,3.181.010.001,01/06/1979
127,127,s05601.dyndns.org,,,AV. CONS. AGUIAR,RUA ERNESTO DE PAULA SANTOS,AV. CONS. AGUIAR X RUA ERNESTO DE PAULA SANTOS,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.124892,-34.899121,"-8.124892,-34.899121",SIM,1191.A0.010000004706,,,,,,1,,2,,,3,,,,,,,1,,4.006.855.259,3.152.762.754,27/08/1980
128,128,s05495.dyndns.org,,,AV. DOMINGOS FERREIRA,RUA CEL. BENEDITO CHAVES,AV. DOMINGOS FERREIRA X RUA CEL. BENEDITO CHAVES,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.127933,-34.901425,"-8.127933,-34.901425",SIM,1191A0010000004728,,,,,,1,1,2,,,5,,,,,,,1,,7.001.992.400,3.010.071.262,22/11/1979
129,129,s05497.dyndns.org,,,AV. VISCONDE DE JEQUITINHONHA,RUA BARÃO DE SOUZA LEÃO,AV. VISCONDE DE JEQUITINHONHA X RUA BARÃO DE SOUZA LEÃO,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.131572,-34.902889,"-8.131572,-34.902889",SIM,1191.A0.010000004699,,,,,,1,,4,,,8,,,,,1,,,,4.011.843.927,,10/05/1982
130,130,s05143.dyndns.org,,,AV. RECIFE,RUA JEAN EMILE FAVRE,AV. RECIFE X RUA JEAN EMILE FAVRE,IPSEP,GIT-SM 6 FASES,SINALVIDA,7,,,-8.115394,-34.924526,"-8.115394,-34.924526",NÃO,,,,,,,,1,2,,,4,,,,,2,1,,,4.008.139.666,3.161.737.126,20/03/1980
131,131,s05394.dyndns.org,,,AV. BEBERIBE,AV. PROF JOSÉ DOS ANJOS,AV. BEBERIBE X AV. PROF JOSÉ DOS ANJOS,ARRUDA,GIT-SM 6 FASES,SERTTEL,2,,,-8.027954,-34.892919,"-8.027954,-34.892919",NÃO,,,,,,,,,6,,,11,,,,,5,1,,,4.006.557.061,3.154.842.194,11/07/1979
132,132,radium-tecnologia.fortiddns.com:20061,,,AV. ENG ABDIAS DE CARVALHO,RUA JOÃO IVO DA SILVA,AV. ENG ABDIAS DE CARVALHO X RUA JOÃO IVO DA SILVA,MADALENA,GIT-CSMP 10 FASES,SERTTEL,4,,ABDIAS 2,-8.062178,-34.909656,"-8.062178,-34.909656",NÃO,,4,,,,,,2,3,,,9,1,,,,5,,,,4.005.637.436,61.047.980,12/12/1982
133,133,s05383.dyndns.org,,,AV. CONS. AGUIAR,APÓS A RUA SOUTO FILHO,AV. CONS. AGUIAR X APÓS A RUA SOUTO FILHO,PINA,GIT-CSMP 10 FASES,SERTTEL,3,FOI TRANSFERIDO O DYN s05383.dyndns.org PARA O SEMÁFORO 295/272 A PEDIDO DA CTTU,,-8.092824,-34.883905,"-8.092824,-34.883905",SIM,,,,,2,,1,,2,,,3,,2,,,,,,,4.011.843.927,,20/09/1979
134,134,s05615.dyndns.org,,,AV. MÁRIO ALVES DE LIRA,RUA  PROFERSSOR XAVIER DE BRITO,AV. MÁRIO ALVES DE LIRA X RUA  PROFERSSOR XAVIER DE BRITO,IPUTINGA,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.046993,-34.936048,"-8.046993,-34.936048",NÃO,,,,,,,3,5,,,,12,,6,,,5,,,,7.010.554.254,3.120.692.762,15/05/2004
